stim_fname,target_fname,condition
./combined_stims/mturk/wav/list3_dg09_1_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_2_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_3_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_4_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_5_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_6_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_7_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_8_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_9_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_10_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_11_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_12_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_13_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_14_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_15_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_16_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_17_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_18_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_19_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_20_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_21_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_22_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_23_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_24_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_25_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_26_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_27_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_28_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_29_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_30_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_31_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_32_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_33_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_34_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_35_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_36_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_37_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_38_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_39_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_40_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_41_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_42_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_43_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_44_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_45_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_46_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_47_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_48_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_49_lowmid.wav,a_dg09_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg10_50_lowmid.wav,a_dg10_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg11_51_lowmid.wav,a_dg11_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg12_52_lowmid.wav,a_dg12_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg13_53_lowmid.wav,a_dg13_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg14_54_lowmid.wav,a_dg14_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg15_55_lowmid.wav,a_dg15_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg16_56_lowmid.wav,a_dg16_CV.wav,lowmid
./combined_stims/mturk/wav/list3_dg09_57_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_58_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_59_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_60_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_61_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_62_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_63_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_64_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_65_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_66_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_67_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_68_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_69_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_70_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_71_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_72_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_73_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_74_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_75_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_76_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_77_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_78_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_79_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_80_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_81_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_82_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_83_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_84_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_85_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_86_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_87_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_88_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_89_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_90_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_91_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_92_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_93_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_94_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_95_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_96_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_97_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_98_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_99_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_100_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_101_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_102_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_103_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_104_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_105_midlow.wav,a_dg09_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg10_106_midlow.wav,a_dg10_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg11_107_midlow.wav,a_dg11_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg12_108_midlow.wav,a_dg12_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg13_109_midlow.wav,a_dg13_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg14_110_midlow.wav,a_dg14_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg15_111_midlow.wav,a_dg15_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg16_112_midlow.wav,a_dg16_CV.wav,midlow
./combined_stims/mturk/wav/list3_dg09_113_highmid.wav,a_dg09_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg10_114_highmid.wav,a_dg10_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg11_115_highmid.wav,a_dg11_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg12_116_highmid.wav,a_dg12_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg13_117_highmid.wav,a_dg13_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg14_118_highmid.wav,a_dg14_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg15_119_highmid.wav,a_dg15_CV.wav,highmid
./combined_stims/mturk/wav/list3_dg16_120_highmid.wav,a_dg16_CV.wav,highmid
