stim_fname,target_fname,condition
dg08_1_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_2_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_3_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_4_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_5_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_6_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_7_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_8_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_9_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_10_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_11_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_12_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_13_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_14_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_15_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_16_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_17_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_18_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_19_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_20_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_21_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_22_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_23_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_24_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_25_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_26_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_27_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_28_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_29_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_30_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_31_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_32_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_33_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_34_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_35_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_36_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_37_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_38_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_39_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_40_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_41_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_42_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_43_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_44_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_45_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_46_lowmid.wav,a_dg08_CV.wav,lowmid
dg09_47_lowmid.wav,a_dg09_CV.wav,lowmid
dg10_48_lowmid.wav,a_dg10_CV.wav,lowmid
dg11_49_lowmid.wav,a_dg11_CV.wav,lowmid
dg12_50_lowmid.wav,a_dg12_CV.wav,lowmid
dg08_51_midlow.wav,a_dg08_CV.wav,midlow
dg09_52_midlow.wav,a_dg09_CV.wav,midlow
dg10_53_midlow.wav,a_dg10_CV.wav,midlow
dg11_54_midlow.wav,a_dg11_CV.wav,midlow
dg12_55_midlow.wav,a_dg12_CV.wav,midlow
dg08_56_midlow.wav,a_dg08_CV.wav,midlow
dg09_57_midlow.wav,a_dg09_CV.wav,midlow
dg10_58_midlow.wav,a_dg10_CV.wav,midlow
dg11_59_midlow.wav,a_dg11_CV.wav,midlow
dg12_60_midlow.wav,a_dg12_CV.wav,midlow
dg08_61_midlow.wav,a_dg08_CV.wav,midlow
dg09_62_midlow.wav,a_dg09_CV.wav,midlow
dg10_63_midlow.wav,a_dg10_CV.wav,midlow
dg11_64_midlow.wav,a_dg11_CV.wav,midlow
dg12_65_midlow.wav,a_dg12_CV.wav,midlow
dg08_66_midlow.wav,a_dg08_CV.wav,midlow
dg09_67_midlow.wav,a_dg09_CV.wav,midlow
dg10_68_midlow.wav,a_dg10_CV.wav,midlow
dg11_69_midlow.wav,a_dg11_CV.wav,midlow
dg12_70_midlow.wav,a_dg12_CV.wav,midlow
dg08_71_midlow.wav,a_dg08_CV.wav,midlow
dg09_72_midlow.wav,a_dg09_CV.wav,midlow
dg10_73_midlow.wav,a_dg10_CV.wav,midlow
dg11_74_midlow.wav,a_dg11_CV.wav,midlow
dg12_75_midlow.wav,a_dg12_CV.wav,midlow
dg08_76_midlow.wav,a_dg08_CV.wav,midlow
dg09_77_midlow.wav,a_dg09_CV.wav,midlow
dg10_78_midlow.wav,a_dg10_CV.wav,midlow
dg11_79_midlow.wav,a_dg11_CV.wav,midlow
dg12_80_midlow.wav,a_dg12_CV.wav,midlow
dg08_81_midlow.wav,a_dg08_CV.wav,midlow
dg09_82_midlow.wav,a_dg09_CV.wav,midlow
dg10_83_midlow.wav,a_dg10_CV.wav,midlow
dg11_84_midlow.wav,a_dg11_CV.wav,midlow
dg12_85_midlow.wav,a_dg12_CV.wav,midlow
dg08_86_midlow.wav,a_dg08_CV.wav,midlow
