stim_fname,target_fname,condition
../combined_stims/dg09_1_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_2_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_3_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_4_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_5_lowmid.wav,a_dg13_CV.wav,lowmid
../combined_stims/dg14_6_lowmid.wav,a_dg14_CV.wav,lowmid
../combined_stims/dg15_7_lowmid.wav,a_dg15_CV.wav,lowmid
../combined_stims/dg16_8_lowmid.wav,a_dg16_CV.wav,lowmid
../combined_stims/dg09_9_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_10_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_11_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_12_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_13_lowmid.wav,a_dg13_CV.wav,lowmid
../combined_stims/dg14_14_lowmid.wav,a_dg14_CV.wav,lowmid
../combined_stims/dg15_15_lowmid.wav,a_dg15_CV.wav,lowmid
../combined_stims/dg16_16_lowmid.wav,a_dg16_CV.wav,lowmid
../combined_stims/dg09_17_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_18_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_19_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_20_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_21_lowmid.wav,a_dg13_CV.wav,lowmid
../combined_stims/dg14_22_lowmid.wav,a_dg14_CV.wav,lowmid
../combined_stims/dg15_23_lowmid.wav,a_dg15_CV.wav,lowmid
../combined_stims/dg16_24_lowmid.wav,a_dg16_CV.wav,lowmid
../combined_stims/dg09_25_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_26_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_27_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_28_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_29_lowmid.wav,a_dg13_CV.wav,lowmid
../combined_stims/dg14_30_lowmid.wav,a_dg14_CV.wav,lowmid
../combined_stims/dg15_31_lowmid.wav,a_dg15_CV.wav,lowmid
../combined_stims/dg16_32_lowmid.wav,a_dg16_CV.wav,lowmid
../combined_stims/dg09_33_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_34_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_35_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_36_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_37_lowmid.wav,a_dg13_CV.wav,lowmid
../combined_stims/dg14_38_lowmid.wav,a_dg14_CV.wav,lowmid
../combined_stims/dg15_39_lowmid.wav,a_dg15_CV.wav,lowmid
../combined_stims/dg16_40_lowmid.wav,a_dg16_CV.wav,lowmid
../combined_stims/dg09_41_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_42_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_43_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_44_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_45_lowmid.wav,a_dg13_CV.wav,lowmid
../combined_stims/dg14_46_lowmid.wav,a_dg14_CV.wav,lowmid
../combined_stims/dg15_47_lowmid.wav,a_dg15_CV.wav,lowmid
../combined_stims/dg16_48_lowmid.wav,a_dg16_CV.wav,lowmid
../combined_stims/dg09_49_lowmid.wav,a_dg09_CV.wav,lowmid
../combined_stims/dg10_50_lowmid.wav,a_dg10_CV.wav,lowmid
../combined_stims/dg11_51_lowmid.wav,a_dg11_CV.wav,lowmid
../combined_stims/dg12_52_lowmid.wav,a_dg12_CV.wav,lowmid
../combined_stims/dg13_53_lowmid.wav,a_dg13_CV.wav,lowmid
